date;total;cas
25.févr;1;
26.févr;1;0
27.févr;3;2
28.févr;15;12
29.févr;20;5
01.mars;25;5
02.mars;27;2
03.mars;37;10
04.mars;58;21
05.mars;87;29
06.mars;210;123
07.mars;246;36
08.mars;281;35
09.mars;312;31
10.mars;476;164
11.mars;645;169
12.mars;858;213
13.mars;1125;267
14.mars;1359;234
15.mars;2200;841
16.mars;2300;100
17.mars;2650;350
18.mars;3028;378
19.mars;3888;860
20.mars;4840;952
21.mars;6113;1273
22.mars;7014;901
23.mars;8060;1046
24.mars;8836;776
25.mars;9765;929
26.mars;10714;949
27.mars;12161;1447
28.mars;13213;1052
29.mars;14336;1123
30.mars;15475;1139
31.mars;16176;701
01.avr;17139;963
02.avr;18267;1128
03.avr;19303;1036
04.avr;20278;975
05.avr;21100;822
06.avr;21652;552
07.avr;22242;590
08.avr;22789;547
09.avr;23574;785
10.avr;24308;734
11.avr;24900;592
12.avr;25300;400
13.avr;25580;280
14.avr;25834;254
15.avr;26336;502
16.avr;26732;396
17.avr;27078;346
18.avr;27440;362
19.avr;27740;300
20.avr;27944;204
21.avr;28063;119
22.avr;28268;205
23.avr;28496;228
24.avr;28677;181
25.avr;28894;217
26.avr;29061;167
27.avr;29164;103
28.avr;29264;100
29.avr;29407;143
30.avr;29586;179
01.mai;29705;119
02.mai;29817;112
03.mai;29905;88
04.mai;29981;76
05.mai;30009;28
06.mai;30060;51
07.mai;30126;66
08.mai;30207;81
09.mai;30231;24
10.mai;30305;74
11.mai;30344;39
12.mai;30380;36
13.mai;30413;33
14.mai;30463;50
15.mai;30514;51
16.mai;30572;58
17.mai;30587;15
18.mai;30597;10
19.mai;30618;21
20.mai;30658;40
21.mai;30694;36
22.mai;30707;13
23.mai;30725;18
24.mai;30736;11
25.mai;30746;10
26.mai;30761;15
27.mai;30776;15
28.mai;30796;20
29.mai;30828;32
30.mai;30845;17
31.mai;30862;17
01.juin;30871;9
02.juin;30874;3
03.juin;30893;19
04.juin;30913;20
05.juin;30936;23
06.juin;30956;20
07.juin;30965;9
08.juin;30972;7
09.juin;30988;16
10.juin;31011;23
11.juin;31044;33
12.juin;31063;19
13.juin;31094;31
14.juin;31117;23
15.juin;31131;14
16.juin;31146;15
17.juin;31183;37
18.juin;31200;17
19.juin;31217;17
20.juin;31243;26
21.juin;31292;49
22.juin;31310;18
23.juin;31332;22
24.juin;31376;44
25.juin;31428;52
26.juin;31486;58
27.juin;31555;69
28.juin;31617;62
29.juin;31652;35
30.juin;31714;62
01.juil;31851;137
02.juil;31967;116
03.juil;32101;134
04.juil;32198;97
05.juil;32268;70
06.juil;32315;47
07.juil;32369;54
08.juil;32498;129
09.juil;32586;88
10.juil;32690;104
11.juil;32817;127
12.juil;32883;66
13.juil;32946;63
14.juil;33016;70
15.juil;33148;132
16.juil;33290;142
17.juil;33382;92
18.juil;33492;110
19.juil;33591;99
20.juil;33634;43
21.juil;33742;108
22.juil;33883;141
23.juil;34000;117
24.juil;34154;154
25.juil;34302;148
26.juil;34412;110
27.juil;34477;65
28.juil;34609;132
29.juil;34802;193
30.juil;35022;220
31.juil;35232;210
01.août;35412;180
02.août;35550;138
03.août;35616;66
04.août;35746;130
05.août;35927;181
06.août;36108;181
07.août;36269;161
08.août;36451;182
09.août;36603;152
10.août;36708;105
11.août;36895;187
12.août;37169;274
13.août;37403;234
14.août;37671;268
15.août;37924;253
16.août;38124;200
17.août;38252;128
18.août;38449;197
19.août;38760;311
20.août;39026;266
21.août;39332;306
22.août;39627;295
23.août;39903;276
24.août;40060;157
25.août;40262;202
26.août;40645;383
27.août;41006;361
28.août;41346;340
29.août;41722;376
30.août;42014;292
31.août;42177;163
01.sept;42393;216
02.sept;42763;370
03.sept;43127;364
04.sept;43532;405
05.sept;43957;425
06.sept;44401;444
07.sept;44592;191
08.sept;44837;245
09.sept;45306;469
10.sept;45711;405
11.sept;46239;528
12.sept;46704;465
13.sept;47179;475
14.sept;47436;257
15.sept;47751;315
16.sept;48265;514
17.sept;48795;530
18.sept;49283;488
19.sept;49283;0
20.sept;49283;0
21.sept;50378;1095
